Label,P1:string,P2:string,P3:url,P4:string,P5:time,P6:time,P7:string,P8:string,P9:string,P10:string,P11:string
Rafael Sánchez Ferlosio,Rafael Sánchez Ferlosio,España,http://commons.wikimedia.org/wiki/Special:FilePath/Sanchez%20Ferlosio.jpg,Roma,+1927-12-04T00:00:00Z,+2019-04-01T00:00:00Z,"Ensayo, Narrativa","Novela social española","El Jarama","Premio Miguel de Cervantes, Premio Nadal, Premio Nacional de las Letras Españolas, Premio Nacional de Ensayo, Premio de la Crítica de narrativa castellana, Medalla de Oro al Mérito en las Bellas Artes, Premio Francisco Cerecedo, premio Mariano de Cavia",12131
Rafael Sánchez Mazas,Rafael Sánchez Mazas,España,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20S%C3%A1nchez%20Mazas%20en%20una%20delegacion%20franquista%20enviada%20a%20Roma%20en%201939.jpg,Madrid,+1894-01-01T00:00:00Z,+1966-01-01T00:00:00Z,"Novela",,,"Gran Cruz de la Orden Civil de Alfonso X el Sabio, Gran Cruz de la Orden de Cisneros",90400
Rafael de León,Rafael de León,España,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20de%20Leon.jpg,Sevilla,+1908-02-06T00:00:00Z,+1982-12-09T00:00:00Z,"Poesía","Generación del 27",,,2959
Raimon Casellas,Raimon Casellas,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ramon%20Casas%20-%20MNAC-%20Raimon%20Casellas-%20041468-D%20006756.jpg,Barcelona,+1855-01-07T00:00:00Z,+1910-11-02T00:00:00Z,,"Modernismo catalán",,,1335
Ralph Waldo Emerson,Ralph Waldo Emerson,Estados Unidos,http://commons.wikimedia.org/wiki/Special:FilePath/RWEmerson.jpg,Boston,+1803-05-25T00:00:00Z,+1882-04-27T00:00:00Z,"Trascendentalismo","Filosofía occidental","Himno de Concord",,41761
Ramiro de Maeztu,Ramiro de Maeztu,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ramiro%20de%20Maeztu%2C%20de%20Indalecio%20Ojanguren%20%28Azpeitia%2C%201934%29.jpg,Vitoria,+1874-05-04T00:00:00Z,+1935-11-30T00:00:00Z,,,"Hacia otra España",,9217
Ramon Aramon,Ramon Aramon,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ramon%20Aramon%20i%20Serra.jpg,Barcelona,+1907-12-08T00:00:00Z,+2000-07-17T00:00:00Z,"Sardana",,,"Medalla de Oro de la Generalitat de Catalunya, Cruz de Sant Jordi, Premio de Honor de las Letras Catalanas",3286
Ramon Ramon i Vidales,Ramon Ramon i Vidales,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ramon%20Ramon%20i%20Vidales%20%281906%29.jpg,Vendrell,+1858-01-01T00:00:00Z,+1916-01-01T00:00:00Z,,,,,1442
Ramón Emeterio Betances Alacán,Ramón Emeterio Betances Alacán,Puerto Rico,http://commons.wikimedia.org/wiki/Special:FilePath/Ramon%20Emeterio%20Betances%20sitting.jpg,Cuba,+1827-04-08T00:00:00Z,+1898-09-16T00:00:00Z,,,,,35702
Ramón Gaya,Ramón Gaya,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ramon%20Gaya%20por%20Juan%20Ballester.jpg,Murcia,+1910-10-10T00:00:00Z,+2005-10-15T00:00:00Z,"Poesía",,,"Premio Velázquez de Artes Plásticas, Premio Nacional de Artes Plásticas de España, doctor honoris causa por la Universidad de Murcia",7145
Ramón Gómez de la Serna,Ramón Gómez de la Serna,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ram%C3%B3n%20G%C3%B3mez%20de%20la%20Serna%20b%20Meurisse%201928.jpg,Madrid,+1888-07-03T00:00:00Z,+1963-01-12T00:00:00Z,"Novela, Greguería",,"Automoribundia, El caballero del hongo gris","Gran Cruz de la Orden Civil de Alfonso X el Sabio",2140
Ramón J. Sender Garcés,Ramón J. Sender Garcés,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ramon%20J%20Sender.jpg,Chalamera,+1901-02-03T00:00:00Z,+1982-01-16T00:00:00Z,"Novela",,,"Beca Guggenheim, Premio Planeta",11432
Ramón López Velarde,Ramón López Velarde,México,http://commons.wikimedia.org/wiki/Special:FilePath/Lvelarde.jpg,Jerez de García Salinas,+1888-06-15T00:00:00Z,+1921-06-19T00:00:00Z,,,,,2514
Ramón María Tenreiro,Ramón María Tenreiro,España,http://commons.wikimedia.org/wiki/Special:FilePath/1908-07-14%2C%20El%20Cuento%20Semanal%2C%20Embrujamiento%2C%20de%20Ram%C3%B3n%20M.%20Tenreiro%2C%20Tovar%20%28cropped%29.jpg,La Coruña,+1879-01-01T00:00:00Z,+1939-01-01T00:00:00Z,,,,,3171
Ramón Miquel y Planas,Ramón Miquel y Planas,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ram%C3%B3n%20Miquel%20y%20Planas.jpg,Barcelona,+1874-01-01T00:00:00Z,+1950-01-01T00:00:00Z,,,,,3327
Ramón Otero Pedrayo,Ramón Otero Pedrayo,España,http://commons.wikimedia.org/wiki/Special:FilePath/Otero%20Pedrayo%20falando%20na%20Universidade%20Nacional%20de%20Cuyo%2C%20Mendoza%2C%2021%20de%20agosto%20de%201947.%20JPG.jpg,Orense,+1888-01-01T00:00:00Z,+1976-01-01T00:00:00Z,,,"Os camiños da vida","Día de las Letras Gallegas, Gran Cruz de la Orden Civil de Alfonso X el Sabio",13408
Ramón Pérez de Ayala,Ramón Pérez de Ayala,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ram%C3%B3n%20P%C3%A9rez%20de%20Ayala.JPG,Oviedo,+1880-08-09T00:00:00Z,+1962-08-05T00:00:00Z,"Poesía, Novela",,,"premio Mariano de Cavia",5207
Ramón de Abadal y de Vinyals,Ramón de Abadal y de Vinyals,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ramon%20d%27Abadal.jpg,Vich,+1888-10-01T00:00:00Z,+1970-01-17T00:00:00Z,,,,"Premio Lletra d'Or",3505
Ramón de Campoamor,Ramón de Campoamor,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ram%C3%B3n%20de%20Campoamor.jpg,Navia,+1817-01-01T00:00:00Z,+1901-02-11T00:00:00Z,"Teatro",,,,251
Ramón de Mesonero Romanos,Ramón de Mesonero Romanos,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ram%C3%B3n%20de%20Mesonero%20Romanos%2C%20de%20V%C3%ADctor%20Manzano%20y%20Mejorada.jpg,Madrid,+1803-07-19T00:00:00Z,+1882-04-30T00:00:00Z,,"Costumbrismo",,,227
